ID	sample1
ENST00000415118	0.0
ENST00000434970	0.0
ENST00000448914	0.0
ENST00000632684	0.0
ENST00000604642	0.0
ENST00000603326	0.0
ENST00000604950	0.0
ENST00000603077	0.0
ENST00000605284	0.0
ENST00000604446	0.0
ENST00000603693	0.0
ENST00000603935	0.0
ENST00000604102	0.0
ENST00000604838	0.0
ENST00000439842	0.0
ENST00000390567	0.0
ENST00000452198	0.0
ENST00000390569	0.0
ENST00000437320	0.0
ENST00000390571	0.0
ENST00000390572	0.0
ENST00000450276	0.0
ENST00000390574	0.0
ENST00000390575	0.0
ENST00000431870	0.0
ENST00000390577	0.0
ENST00000390578	0.0
ENST00000451044	0.0
ENST00000390580	0.0
ENST00000390581	0.0
ENST00000431440	0.0
ENST00000390583	0.0
ENST00000390584	0.0
ENST00000390585	0.0
ENST00000430425	0.0
ENST00000454691	0.0
ENST00000390588	0.0
ENST00000414852	0.0
ENST00000390590	0.0
ENST00000390591	0.0
ENST00000454908	0.0
ENST00000379435	0.0
ENST00000542354	0.0
ENST00000390423	0.0
ENST00000390424	0.0
ENST00000390425	0.0
ENST00000390426	0.0
ENST00000390427	0.0
ENST00000390428	0.0
ENST00000390429	0.0
ENST00000390430	0.0
ENST00000390431	0.0
ENST00000390432	0.0
ENST00000390433	0.0
ENST00000390434	0.0
ENST00000390435	0.0
ENST00000390436	0.0
ENST00000390437	0.0
ENST00000390438	0.0
ENST00000390439	0.0
ENST00000390440	0.0
ENST00000390441	0.0
ENST00000390442	0.0
ENST00000390443	0.0
ENST00000390444	0.0
ENST00000390445	0.0
ENST00000390446	0.0
ENST00000390447	0.288838
ENST00000390448	0.0
ENST00000390449	0.0
ENST00000390450	0.0
ENST00000390451	0.0
ENST00000390452	0.0
ENST00000621643	0.0
ENST00000390453	0.0
ENST00000390454	0.0
ENST00000390455	0.0
ENST00000390456	0.0
ENST00000390457	0.0
ENST00000390458	0.0
ENST00000557168	0.0
ENST00000390460	0.0
ENST00000390461	0.0
ENST00000390463	0.0
ENST00000390464	0.0
ENST00000390465	0.0
ENST00000390466	0.916315
ENST00000390467	0.0
ENST00000390468	0.0
ENST00000390469	0.0
ENST00000535880	0.326051
ENST00000390340	0.0
ENST00000390341	0.0
ENST00000444775	0.0
ENST00000390343	0.0
ENST00000390344	0.469283
ENST00000390345	1.59597
ENST00000390346	1.45606
ENST00000426402	2.18706
ENST00000390348	0.290417
ENST00000455382	0.0
ENST00000390387	0.0
ENST00000390357	0.193965
ENST00000390381	0.0
ENST00000390353	0.0
ENST00000547918	0.0
ENST00000390392	0.0
ENST00000634383	0.0
ENST00000634605	0.0
ENST00000390360	0.0
ENST00000390361	0.0
ENST00000390362	0.0
ENST00000390363	0.0
ENST00000390364	0.169796
ENST00000390367	0.0
ENST00000426318	0.0
ENST00000390368	0.0
ENST00000390369	0.0
ENST00000454561	0.0
ENST00000390371	0.0
ENST00000390372	0.0
ENST00000390373	0.0
ENST00000390374	0.0
ENST00000390375	0.0
ENST00000390376	0.0
ENST00000390377	0.0
ENST00000390378	0.0
ENST00000612787	0.0
ENST00000614171	0.0
ENST00000611462	0.0
ENST00000611787	0.0
ENST00000620569	0.0
ENST00000617347	0.0
ENST00000621184	0.0
ENST00000617639	0.0
ENST00000616518	0.0
ENST00000620773	0.0
ENST00000619103	0.0
ENST00000611520	0.0
ENST00000390393	0.0
ENST00000390394	0.0
ENST00000390396	0.0
ENST00000390397	0.0
ENST00000390398	0.0
ENST00000390399	0.0
ENST00000390400	0.0
ENST00000422143	0.0
ENST00000417977	0.152719
ENST00000652053	0.0
ENST00000402588	0.0
ENST00000634759	0.0
ENST00000621118	0.0
ENST00000425829	0.0
ENST00000541415	0.0
ENST00000622436	0.0
ENST00000553765	0.0
ENST00000424348	0.0
ENST00000432841	0.0
ENST00000642324	0.0
ENST00000514827	0.0
ENST00000445557	0.0
ENST00000438474	0.0
ENST00000571766	0.0
ENST00000435101	0.857003
ENST00000358097	0.283566
ENST00000433992	0.0
ENST00000614967	0.0
ENST00000612115	0.0
ENST00000651010	1.24943
ENST00000610593	0.0
ENST00000424775	0.0
ENST00000435688	0.166906
ENST00000508166	0.0
ENST00000503442	0.0
ENST00000511446	0.276948
ENST00000504802	0.424322
ENST00000508264	0.0
ENST00000613293	0.0
ENST00000610628	0.0
ENST00000522175	0.0
ENST00000519951	0.0
ENST00000457194	0.0954422
ENST00000429712	0.95441
ENST00000493176	0.0
ENST00000420396	0.0
ENST00000637675	0.0
ENST00000568934	0.0
ENST00000418689	0.0
ENST00000641465	0.0
ENST00000440231	0.0
ENST00000435756	0.0
ENST00000527486	0.0
ENST00000618570	0.0
ENST00000377712	0.159598
ENST00000521053	0.0
ENST00000523857	0.0
ENST00000621837	0.0
ENST00000430863	0.0
ENST00000521161	0.0
ENST00000606380	0.0
ENST00000616270	0.0
ENST00000634680	0.0
ENST00000634967	0.0
ENST00000579578	0.0
ENST00000586762	0.172761
ENST00000588823	0.0
ENST00000611850	0.260202
ENST00000591655	0.0
ENST00000553483	0.0
ENST00000429239	0.0
ENST00000394191	0.0
ENST00000534447	0.487674
ENST00000534142	0.0
ENST00000533478	0.0
ENST00000525539	0.0
ENST00000530363	0.0
ENST00000299598	0.0
ENST00000529079	0.0
ENST00000531391	0.0
ENST00000337114	0.0
ENST00000526632	0.0
ENST00000527937	0.156872
ENST00000529791	0.0
ENST00000484361	0.0
ENST00000602139	1.36492
ENST00000439431	0.0
ENST00000613512	0.0
ENST00000422698	0.0
ENST00000375726	0.0
ENST00000417998	0.0
ENST00000433738	0.0
ENST00000441710	0.0
ENST00000446862	0.0
ENST00000447913	0.0
ENST00000448103	0.0
ENST00000458137	0.0
ENST00000494737	0.0
ENST00000508062	0.0
ENST00000339924	0.0
ENST00000391729	0.0
ENST00000641572	0.0
ENST00000641848	0.0
ENST00000412796	0.0
ENST00000641710	0.0
ENST00000641031	0.0
ENST00000332217	0.0
ENST00000649616	0.0
ENST00000504970	0.0
ENST00000502411	0.0
ENST00000496692	4.1937
ENST00000543859	3.47737
ENST00000466542	4.1553
ENST00000465075	0.0
ENST00000473530	3.02637
ENST00000611236	1.35841
ENST00000473712	0.0
ENST00000482226	0.0
ENST00000467903	7.10798
ENST00000507374	0.0
ENST00000508651	3.35226
ENST00000649376	0.0
ENST00000641246	0.0
ENST00000472952	0.0
ENST00000446393	0.0
ENST00000641506	0.980828
ENST00000641557	0.340325
ENST00000641057	0.0
ENST00000390477	1.71164
ENST00000611116	80.2938
ENST00000436911	0.0
ENST00000443402	0.0
ENST00000633705	2.26713
ENST00000466254	19.3393
ENST00000390320	0.0
ENST00000390322	0.0
ENST00000390324	1.38042
ENST00000390326	0.0
ENST00000390327	0.0
ENST00000390328	0.0
ENST00000390330	0.0
ENST00000390238	0.0
ENST00000390239	0.0
ENST00000390240	0.0
ENST00000390241	0.0
ENST00000390242	0.0
ENST00000390560	0.0
ENST00000488476	0.0
ENST00000461719	0.0
ENST00000463911	0.0
ENST00000390564	0.0
ENST00000390565	0.0
ENST00000390321	7.79721
ENST00000390323	9295.71
ENST00000390325	379.344
ENST00000390331	0.934218
ENST00000390237	1.75483
ENST00000497872	504.458
ENST00000390539	3.10837
ENST00000641420	0.0
ENST00000390541	0.0
ENST00000641978	0.0
ENST00000390543	0.0
ENST00000641095	0.0
ENST00000390545	0.0301905
ENST00000641837	1360.05
ENST00000390547	2606.77
ENST00000390548	0.0
ENST00000390549	0.258242
ENST00000390542	0.0
ENST00000641136	0.0
ENST00000390551	0.0
ENST00000390556	1.01618
ENST00000613640	2.39649
ENST00000637539	25.8823
ENST00000390559	52.286
ENST00000622028	0.0
ENST00000390282	273.703
ENST00000390287	0.0
ENST00000640991	0.0
ENST00000390283	0.0
ENST00000390284	0.0
ENST00000390285	79.5102
ENST00000390286	0.0
ENST00000390289	6.83309
ENST00000390290	1.09958
ENST00000390291	0.0
ENST00000427632	0.0
ENST00000390293	0.0
ENST00000390294	0.345106
ENST00000390295	0.0
ENST00000390296	0.0
ENST00000390297	0.0
ENST00000390298	0.0
ENST00000390299	0.517659
ENST00000390300	0.0
ENST00000390301	0.0
ENST00000390302	0.0
ENST00000390303	0.0
ENST00000390304	0.0
ENST00000390305	0.756531
ENST00000390306	5484.86
ENST00000390307	0.0
ENST00000390308	0.0
ENST00000390309	0.0
ENST00000390310	4.36275
ENST00000390311	0.0
ENST00000390312	6.51183
ENST00000390313	0.0
ENST00000390314	87.5831
ENST00000390315	0.0
ENST00000390316	0.0
ENST00000620395	0.0
ENST00000390318	0.0
ENST00000390319	0.0
ENST00000338912	0.0
ENST00000558565	0.0
ENST00000630556	0.000191764
ENST00000622410	0.0
ENST00000604066	0.000191764
ENST00000557788	0.0
ENST00000354689	0.0
ENST00000558425	0.0
ENST00000567458	0.0
ENST00000425181	0.0
ENST00000565407	0.0
ENST00000570121	0.418475
ENST00000562905	0.0
ENST00000421835	0.0
ENST00000390243	4.60036
ENST00000390244	0.0
ENST00000496168	0.0
ENST00000464162	0.0
ENST00000390247	0.0
ENST00000495489	0.0
ENST00000493819	0.0
ENST00000483158	0.0
ENST00000480492	0.0
ENST00000390252	0.0
ENST00000479981	0.0
ENST00000490686	0.0
ENST00000492167	0.0
ENST00000390256	0.0
ENST00000484817	0.0
ENST00000498435	0.0
ENST00000482769	0.0
ENST00000468494	0.0
ENST00000473726	0.0
ENST00000558152	0.0
ENST00000465170	0.0
ENST00000498574	0.0
ENST00000620613	0.0
ENST00000621595	0.0
ENST00000429992	0.0
ENST00000560045	0.0
ENST00000448155	0.0
ENST00000509129	0.0
ENST00000390265	0.0
ENST00000611734	0.0
ENST00000474213	0.0
ENST00000491977	0.0
ENST00000612356	0.0
ENST00000453166	0.0
ENST00000558026	0.0
ENST00000390268	0.0
ENST00000462693	0.0
ENST00000436451	0.0
ENST00000390270	0.0
ENST00000390271	0.0
ENST00000483379	0.0
ENST00000492446	0.0
ENST00000417279	0.0
ENST00000611391	0.0
ENST00000377032	0.0
ENST00000390277	0.0
ENST00000390278	0.0
ENST00000468879	0.0
ENST00000471857	0.0
ENST00000443397	0.0
ENST00000453673	0.0
ENST00000390593	0.0
ENST00000390594	0.50138
ENST00000390595	0.179548
ENST00000455737	0.0
ENST00000631943	0.0
ENST00000390597	0.0
ENST00000390598	0.790403
ENST00000632099	0.0
ENST00000632950	2.05066
ENST00000390601	0.457226
ENST00000390602	0.0
ENST00000390603	0.0
ENST00000390604	0.0
ENST00000390605	0.0
ENST00000390606	0.168252
ENST00000390607	2162.09
ENST00000390609	21.6362
ENST00000390610	0.0
ENST00000390611	0.0
ENST00000390612	0.0
ENST00000603660	0.160125
ENST00000438142	0.0
ENST00000390615	0.32022
ENST00000390616	0.0
ENST00000390617	0.0
ENST00000390618	0.0
ENST00000390619	0.0
ENST00000434710	3.12897
ENST00000390621	0.0
ENST00000390622	0.0
ENST00000390624	1.4201
ENST00000390625	0.0
ENST00000390626	1.02508
ENST00000519403	0.0
ENST00000390627	0.0
ENST00000390628	0.0
ENST00000390629	0.0
ENST00000390630	0.296907
ENST00000454421	0.390978
ENST00000390632	0.647944
ENST00000390633	0.0
ENST00000390634	0.0
ENST00000632209	0.0
ENST00000624687	0.0
ENST00000617374	0.0
ENST00000433072	0.0
ENST00000621503	0.0
ENST00000390636	0.0
ENST00000424969	0.216806
ENST00000390639	0.0
ENST00000390473	0.0
ENST00000390474	0.0
ENST00000390475	0.0
ENST00000390476	0.0
ENST00000390479	0.0
ENST00000390480	0.0
ENST00000390481	0.0
ENST00000390482	0.0
ENST00000390483	0.0
ENST00000390484	0.0
ENST00000390485	0.0
ENST00000390486	0.0
ENST00000390487	0.0
ENST00000390488	0.0
ENST00000390489	0.0
ENST00000390490	0.0
ENST00000390491	0.0
ENST00000390492	0.0
ENST00000390493	0.0
ENST00000390494	0.0
ENST00000390495	0.0
ENST00000390496	0.0
ENST00000390497	0.0
ENST00000390498	0.0
ENST00000390499	0.0
ENST00000612375	0.0
ENST00000614481	0.0
ENST00000390502	0.0
ENST00000390503	0.0
ENST00000390504	0.0
ENST00000390505	0.0
ENST00000390506	0.0
ENST00000390507	0.0
ENST00000390508	0.0
ENST00000390509	0.0
ENST00000390510	0.0
ENST00000390511	0.0
ENST00000390512	0.0
ENST00000390513	0.0
ENST00000390514	0.0
ENST00000390515	0.0
ENST00000390516	0.0
ENST00000390517	0.0
ENST00000390518	0.0
ENST00000390519	0.0
ENST00000390520	0.0
ENST00000390521	0.0
ENST00000390523	0.0
ENST00000390524	0.0
ENST00000390525	0.0
ENST00000390526	0.0
ENST00000390527	0.0
ENST00000390528	0.0
ENST00000390530	0.0
ENST00000390531	0.0
ENST00000390532	0.0
ENST00000390533	0.0
ENST00000390534	0.0
ENST00000390535	0.0
ENST00000390536	0.0
