ID	ENCFF168AZV	ENCFF362CPC	ENCFF940WVU	ENCFF213XDA	ENCFF281VKZ	ENCFF250BDM
ENST00000368892.9	4151.657610354722	4873.106243365821	3862.342163901956	4680.526831392184	5557.0991942206165	5306.569764088366
ENST00000354473.4	183.16136516270834	96.49715333397664	198.06882891804904	217.69892239033416	0.0	57.680106131395284
ENST00000349792.9	5616.94853165639	5307.3434333687155	4555.583065115127	5769.021443343855	2500.694637399278	4152.96764146046
ENST00000409426.5	2503.2053238903472	1833.4459133455564	2129.239910869027	979.6451507565038	1389.2747985551541	1845.763396204649
ENST00000368888.9	305.2689419378472	385.98861333590656	297.1032433770735	326.54838358550126	0.0	57.680106131395284
ENST00000441902.6	61.05378838756945	0.0	0.0	0.0	0.0	115.36021226279057
ENST00000368890.8	61.05378838756945	0.0	0.0	217.69892239033416	0.0	115.36021226279057
ENST00000489625.1	122.1075767751389	48.24857666698832	49.51720722951226	0.0	0.0	0.0
ENST00000368881.8	732.6454606508333	627.2314966708482	792.2753156721961	1088.4946119516708	1667.129758266185	922.8816981023245
ENST00000368884.8	12821.295561389585	14233.330116761555	12478.336221837088	12953.085882224883	17782.717421505975	13727.865259272077
ENST00000336715.11	488.4303071005556	241.2428833349416	247.5860361475613	653.0967671710025	0.0	288.4005306569764
ENST00000324048.9	0.0	0.0	0.0	0.0	0.0	57.680106131395284
ENST00000368874.8	1404.2371329140974	1061.4686866737432	1188.412973508294	2176.9892239033416	0.0	1095.9220164965104
ENST00000368873.6	61.05378838756945	0.0	49.51720722951226	108.84946119516708	0.0	57.680106131395284
ENST00000368875.6	0.0	0.0	49.51720722951226	0.0	0.0	0.0
ENST00000529142.5	0.0	48.24857666698832	0.0	0.0	0.0	0.0
ENST00000368872.5	183.16136516270834	434.2371900028949	247.5860361475613	108.84946119516708	277.85495971103086	230.72042452558114
ENST00000290524.8	305.2689419378472	434.2371900028949	495.1720722951226	870.7956895613366	833.5648791330925	346.0806367883717
ENST00000452671.7	2442.1515355027777	2267.6831033484514	1683.5850458034167	2721.236529879177	555.7099194220617	2480.244563649997
ENST00000368870.6	61.05378838756945	0.0	49.51720722951226	0.0	0.0	0.0
ENST00000455503.2	122.1075767751389	192.99430666795328	247.5860361475613	217.69892239033416	0.0	288.4005306569764
